amine_*C1_NMR_shift,amine_*C1_electrostatic_charge,amine_*C2_NMR_shift,amine_*C2_electrostatic_charge,amine_*C3_NMR_shift,amine_*C3_electrostatic_charge,amine_*C4_NMR_shift,amine_*C4_electrostatic_charge,amine_*N1_electrostatic_charge,amine_E_HOMO,amine_E_LUMO,amine_V1_frequency,amine_V1_intensity,amine_V2_frequency,amine_V2_intensity,amine_V3_frequency,amine_V3_intensity,amine_V4_frequency,amine_V4_intensity,amine_V5_frequency,amine_V5_intensity,amine_V6_frequency,amine_V6_intensity,amine_dipole_moment,amine_electronegativity,amine_hardness,amine_molecular_volume,amine_molecular_weight,amine_ovality,amine_surface_area,name
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,benan
135.45,0.281,117.02,-0.012,127.14,0.299,113.02,-0.391,-0.788,-0.1886,-0.0269,575.581,13.576,806.768,40.995,1509.374,13.527,1680.637,7.19,1634.904,28.478,3538.421,5.646,1.648261,0.11,0.08,160.89,143.189,1.216,173.89,naian
136.93,0.232,114.23,0.299,123.87,-0.293,111.24,-0.16,-0.827,-0.1958,0.0134,545.439,26.181,729.151,6.2,1550.096,49.664,1642.623,9.495,1665.927,8.128,3544.525,6.523,1.736393,0.09,0.1,127.67,107.156,1.197,146.72,lingjiabenan
136.18,0.398,106.93,-0.283,123.08,-0.278,119.67,0.378,-0.819,-0.1922,0.0098,514.833,40.268,718.326,11.456,1570.858,86.764,1638.04,2.512,1677.979,9.4,3541.9,8.631,1.512499,0.09,0.1,128.02,107.156,1.211,148.72,duijiabenan
132.07,0.371,108.84,-0.185,111.95,-0.432,143.18,0.505,-0.846,-0.1817,0.0069,524.049,27.236,715.767,48.783,1568.583,204.425,1642.214,4.37,1681.382,14.532,3533.277,5.587,1.812851,0.09,0.09,136.84,123.155,1.234,158.5,duijiayangjibenan
142.14,0.464,105.86,-0.31,120.88,-0.079,133.45,-0.08,-0.823,-0.2298,-0.0719,512.862,44.613,701.742,6.234,1551.947,39.234,1658.039,99.188,1662.468,114.157,3578.92,54.7,7.121806,0.15,0.08,131.12,138.126,1.235,154.2,duixiaojibenan
140.2,0.457,106.36,-0.316,121.55,-0.121,115.72,0.001,-0.83,-0.2167,-0.0088,502.003,70.002,739.284,6.195,1575.301,20.038,1637.234,8.815,1676.164,50.452,3562.753,23.602,4.519539,0.11,0.1,141.74,161.126,1.251,164.41,4-anjisanfujiaben
139.11,0.463,107.25,-0.386,137.34,0.208,111.58,-0.249,-0.829,-0.2107,-0.0055,863.903,2.794,691.648,3.448,1497.911,11.007,3180.037,10.724,1632.007,42.619,3654.618,10.387,3.154891,0.11,0.1,123.39,127.574,1.204,144.36,jianlvbenan
1051.53,0.489,125.18,-0.376,-92.4,0.036,-951.92,-0.173,-0.843,-0.2039,-0.0228,502.461,63.152,699.446,5.054,1538.979,109.364,1627.127,1.268,1654.055,28.377,3554.456,18.588,3.520006,0.11,0.09,134.77,219.021,1.225,155.75,duidianbenan
136.66,0.423,107.51,-0.303,122.85,-0.137,124.94,0.106,-0.828,-0.2048,-0.0069,506.36,52.854,704.85,6.871,1546.33,133.863,1635.252,0.504,1662.22,15.497,3551.971,15.46,3.595164,0.11,0.1,123.41,127.574,1.205,144.46,duilvbenan
139.43,0.457,107.57,-0.4,121.77,0.004,110.37,-0.226,-0.571,-0.1901,0.0114,525.572,6.716,704.796,13.442,1552.617,0.128,1644.191,5.149,1670.658,114.81,3134.657,24.995,1.776004,0.09,0.1,129.7,107.156,1.203,149.11,N-jiajibenan
137.17,0.474,107.82,-0.364,125.89,0.003,122.21,-0.095,-0.839,-0.2055,-0.0079,503.721,56.582,702.138,5.664,1541.884,122.388,1632.745,0.901,1657.085,21.96,3553.568,17.214,3.701078,0.11,0.1,127.92,172.03,1.214,149.08,duixiubenan
138.16,0.473,107.64,-0.502,131.68,0.459,112.01,-0.374,-0.837,-0.1955,0.0116,563.4,55.281,705.576,6.17,1495.898,3.778,1648.291,20.758,1668.345,55.961,3545.174,8.894,1.569189,0.09,0.1,127.98,107.156,1.21,148.6,jianjiabenan
